Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WR_1,R2-WR_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-PW_1,G1-PW_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-BY_1,R4-BY_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WY_1,G2-WY_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-BW_1,R3-BW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-RP_1,R1-RP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,160,TRUE,EN,I'm ready,panda,0,0,17.885,0,0,0,16.829,0,0,0,16.474,0,0,0,16.201,0,,,,,,,,,,,,,,,,,1.324,1.324,2.252,1,On,Off,1.519,1.519,2.41,1,Off,On,1.994,1.994,3.233,1,Off,On,1.647,1.647,3.02,1,Off,On,1.169,1.169,2.098,1,Off,On,1.613,1.613,2.432,1,On,Off,1.275,1.275,2.083,1,On,Off,1.123,1.123,2.035,1,On,Off,5,3,I do not know.,N/A,7706024
100,246,TRUE,EN,I'm ready,panda,0,0,20.713,0,0,0,19.182,0,0,0,17.312,0,0,0,32.932,0,,,,,,,,,,,,,,,,,3.618,3.618,4.636,1,On,Off,3.8,3.8,4.911,1,Off,On,5.08,5.08,7.332,1,On,Off,2.341,2.341,3.185,1,Off,On,1.597,1.597,3.042,1,Off,On,4.356,4.964,5.769,2,On,Off,2.216,2.216,3.155,1,On,Off,3.39,3.39,4.233,1,Off,On,5,5,Memory and comprehension of comparisons,Fun game and good animations,6610198
100,156,TRUE,EN,I'm ready,panda,0,0,18.27,0,0,0,17.58,0,4.439,4.439,19.59,1,0,0,18.938,0,,,,,,,,,,,,,,,,,2.562,2.562,3.493,1,On,Off,1.102,1.102,1.921,1,Off,On,1.27,1.27,4.07,1,Off,On,0.547,0.547,1.551,1,Off,On,0.586,2.007,2.935,3,Off,On,0.706,0.706,1.67,1,Off,On,1.019,1.349,2.352,2,On,Off,0.931,0.931,1.844,1,On,Off,5,5,Prediction and memory,,4812554
100,206,TRUE,EN,I'm ready,panda,10.704,18.846,20.637,2,17.491,17.491,21.362,1,18.028,18.028,21.15,1,17.584,17.584,19.801,1,,,,,,,,,,,,,,,,,3.715,4.715,7.391,2,On,Off,3.171,7.628,9.101,5,Off,On,4.207,4.878,7.181,2,On,Off,3.01,3.644,6.971,2,Off,On,4.009,4.009,4.692,1,Off,On,2.084,2.608,2.843,2,Off,On,1.377,1.377,2.824,1,On,Off,1.249,1.249,1.545,1,On,Off,5,5,The power of observation,,5427087
100,216,TRUE,EN,I'm ready,panda,0,0,49.682,0,16.039,16.039,16.478,1,0,0,15.918,0,0,0,16.377,0,,,,,,,,,,,,,,,,,1.436,2.3,3.495,2,On,Off,1.206,2.062,3.021,2,Off,On,2.607,6.582,7.061,3,On,Off,1.926,2.522,3.54,2,Off,On,1.145,2.04,3.03,2,Off,On,1.277,2.141,3.084,2,Off,On,1.375,2.16,3.274,2,On,Off,1.189,2.03,3.94,2,Off,On,5,4,Inferring opinions based on a video,,6358151
100,136,TRUE,EN,I'm ready,panda,17.992,17.992,18.845,1,5.676,5.676,16.288,1,0,0,16.415,0,0,0,16.069,0,,,,,,,,,,,,,,,,,0.322,0.322,1.001,1,Off,On,1.51,1.51,3.388,1,Off,On,0.884,0.884,1.581,1,Off,On,0.875,0.875,1.507,1,Off,On,0.374,0.374,1.15,1,Off,On,0.756,0.756,1.416,1,Off,On,0.587,0.587,1.251,1,Off,On,0.398,0.398,1.143,1,Off,On,5,5,to figure out which one i thought elmo would choose,,1729085
100,142,TRUE,EN,I'm ready,panda,0,0,15.975,0,0,0,15.993,0,0,0,15.434,0,0,0,17.093,0,,,,,,,,,,,,,,,,,2.091,3.742,5.259,2,On,Off,1.761,2.327,4.05,2,Off,On,1.242,3.028,4.603,2,On,Off,0.8,2.3,3.497,2,Off,On,0.557,1.556,2.436,2,Off,On,1.464,2.739,3.881,2,On,Off,1.097,2.46,3.23,2,On,Off,1.033,1.571,2.856,2,Off,On,5,1,I'm not sure.,,3930191
