Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-BW_1,R2-BW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WY_1,G1-WY_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-BR_1,CrA-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-PR_1,R4-PR_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2:purple-white_1,G2:purple-white_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WR_1,R3-WR_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-YB_1,R1-YB_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-RB_1,CrB-RB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,163,TRUE,EN,I'm ready,panda,0,0,21.074,0,0,0,20.753,0,0,0,15.907,0,0,0,15.899,0,,,,,,,,,,,,,,,,,4.604,4.604,6.293,1,Off,On,2.804,2.804,5.285,1,On,Off,1.432,1.432,2.569,1,Off,On,1.025,1.025,2.219,1,On,Off,1.216,1.216,2.386,1,On,Off,1.063,1.063,2.149,1,Off,On,1.937,1.937,2.867,1,Off,On,1.545,1.545,2.523,1,On,Off,5,5,memory,:),6321935
100,198,TRUE,EN,I'm ready,panda,31.99,38.86,54.408,2,0,0,20.656,0,14.048,20.94,22.179,2,13.892,13.892,15.73,1,,,,,,,,,,,,,,,,,1.386,1.386,2.555,1,Off,On,0.92,0.92,2.217,1,On,Off,6.043,6.043,7.297,1,Off,On,0.813,0.813,1.79,1,On,Off,0.834,0.834,1.999,1,On,Off,1.013,1.013,2.552,1,On,Off,0.756,0.756,1.317,1,Off,On,1.098,1.098,1.977,1,Off,On,5,5,This survey was about seeing what people think,,7905058
100,301,TRUE,EN,I'm ready,panda,0,0,20.464,0,0,0,20.648,0,0,0,16.536,0,0,0,17.729,0,,,,,,,,,,,,,,,,,1.81,1.81,3.401,1,Off,On,1.426,1.426,2.956,1,On,Off,2.083,2.083,7.227,1,On,Off,1.686,1.686,3.774,1,On,Off,1.406,1.406,4.188,1,On,Off,1.819,1.819,3.419,1,On,Off,1.447,1.447,2.999,1,Off,On,1.392,1.392,3.355,1,Off,On,5,5,memory,cheers,5240241
100,181,TRUE,EN,I'm ready,panda,0,0,17.058,0,0,0,22.326,0,0,0,22.835,0,0.982,0.982,15.849,1,,,,,,,,,,,,,,,,,2.459,2.459,3.489,1,On,Off,1.988,1.988,3.759,1,On,Off,6.004,6.004,7.294,1,Off,On,1.013,1.013,2.04,1,On,Off,1.013,1.013,1.832,1,On,Off,1.366,1.366,2.195,1,Off,On,0.91,0.91,1.801,1,Off,On,2.034,2.034,3.174,1,On,Off,5,4,i don't know,no,7186260
100,282,TRUE,EN,I'm ready,panda,16.864,16.864,17.717,1,0,0,17.087,0,0,0,16.163,0,0,0,15.738,0,,,,,,,,,,,,,,,,,1.516,4.856,11.729,3,On,Off,1.74,3.434,4.49,4,On,Off,3.291,3.291,4.278,1,On,Off,1.672,1.672,3.207,1,On,Off,1.167,1.167,2.153,1,On,Off,1.756,1.756,2.797,1,Off,On,2.656,3.62,3.901,2,Off,On,1.686,1.686,2.822,1,On,Off,5,4,To determine how a character makes decisions based on a demonstration of their preferences.,Nothing I would like to share.,1249918
100,196,TRUE,EN,I'm ready,panda,0,0,22.054,0,0,0,18.369,0,0,0,16.314,0,0,0,17.597,0,,,,,,,,,,,,,,,,,5.352,5.352,6.916,1,Off,On,2.423,2.423,4.162,1,On,Off,11.186,11.186,12.895,1,On,Off,1.125,1.125,2.576,1,On,Off,2.976,2.976,4.225,1,On,Off,1.699,1.699,3.018,1,On,Off,1.609,1.609,3.132,1,Off,On,1.227,1.227,2.096,1,Off,On,5,5,unsure,no,576293
100,345,TRUE,EN,I'm ready,panda,10.821,10.821,29.575,1,1.583,1.583,18.64,1,34.64,35.024,35.599,2,17.516,17.516,18.387,1,,,,,,,,,,,,,,,,,1.668,7.651,8.338,3,Off,On,2.193,4.433,5.184,3,On,Off,2.86,13.62,14.597,3,On,Off,1.225,5.346,6.192,4,On,Off,1.192,3.68,4.383,3,On,Off,2.196,2.972,4.182,2,On,Off,8.749,10.117,10.917,2,Off,On,1.591,5.615,6.278,3,Off,On,5,4,figuring out which gumballs Elmo likes ,I didn't notice the red and blue lids of the jars until later in the videos.,7720519
100,152,TRUE,EN,I'm ready,panda,0,0,18.601,0,0,0,18.411,0,0,0,18.126,0,0,0,16.067,0,,,,,,,,,,,,,,,,,3.076,3.076,3.945,1,On,Off,3.431,3.431,4.609,1,On,Off,1.808,1.808,2.666,1,Off,On,0.934,0.934,1.75,1,On,Off,0.689,0.689,1.672,1,On,Off,2.185,2.185,2.884,1,Off,On,2.062,2.062,3.493,1,Off,On,2.496,2.496,3.272,1,On,Off,5,3,To test memory,,3433540
