Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WY_1,G2-WY_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-BW_1,R3-BW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-RP_1,R1-RP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WR_1,R2-WR_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-PW_1,G1-PW_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-BY_1,R4-BY_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,212,TRUE,EN,I'm ready,panda,18.89,18.89,19.685,1,0,0,17.198,0,0,0,22.814,0,0,0,18.507,0,,,,,,,,,,,,,,,,,1.359,1.359,2.629,1,Off,On,0.713,9.064,10.286,8,On,Off,1.286,8.59,9.56,4,On,Off,1.002,1.002,2.136,1,Off,On,0.893,0.893,1.967,1,On,Off,0.523,0.523,1.317,1,Off,On,0.987,0.987,1.856,1,On,Off,0.841,0.841,1.787,1,Off,On,5,4,Testing memory. ,,244233
100,194,TRUE,EN,I'm ready,panda,0,0,17.652,0,27.274,27.274,28.222,1,0,0,16.543,0,49.556,49.556,50.753,1,,,,,,,,,,,,,,,,,0.847,0.847,1.925,1,Off,On,0.763,0.763,2.167,1,Off,On,1.627,1.627,3.769,1,On,Off,1.48,1.48,2.845,1,Off,On,1.357,1.357,2.418,1,On,Off,0.864,0.864,1.821,1,Off,On,1.737,1.737,2.99,1,On,Off,1.247,1.247,2.237,1,Off,On,5,5,to figure out learning ,Thanks,2341219
100,212,TRUE,EN,I'm ready,Panda,0,0,19.403,0,0,0,16.453,0,0,0,17.265,0,0,0,18.758,0,,,,,,,,,,,,,,,,,1.24,1.24,2.9,1,Off,On,5.712,6.352,7.813,2,On,Off,1.331,1.331,2.529,1,Off,On,1.97,1.97,3.111,1,Off,On,1.199,1.199,2.124,1,On,Off,1.032,1.032,1.957,1,On,Off,1.768,1.768,2.6,1,On,Off,1.216,1.216,2.485,1,Off,On,5,5,Discovering how people analyze information.,None.,8672129
100,209,TRUE,EN,I'm ready,panda,10.225,10.225,23.865,1,0,0,23.581,0,0,0,22.696,0,3.782,3.782,28.586,1,,,,,,,,,,,,,,,,,1.396,1.396,2.386,1,Off,On,0.999,0.999,1.864,1,Off,On,2.918,2.918,5.265,1,On,Off,2.634,2.634,3.669,1,Off,On,1.761,1.761,2.797,1,On,Off,1.08,1.08,2.227,1,Off,On,1.104,1.104,2.02,1,Off,On,0.994,0.994,1.859,1,Off,On,4,2,I'm really not sure.,Thank you!,835290
100,219,TRUE,EN,I'm ready,panda,0,0,19.711,0,0,0,31.618,0,28.855,28.855,29.083,1,0,0,67.891,0,,,,,,,,,,,,,,,,,0.818,0.818,1.542,1,Off,On,2.479,2.479,3.127,1,Off,On,1.422,1.422,2.065,1,On,Off,1.854,1.854,2.494,1,Off,On,0.783,2.787,3.314,3,On,Off,0.877,0.877,1.815,1,Off,On,0.816,0.816,1.426,1,On,Off,0.637,0.637,1.42,1,Off,On,5,5,To which ones he likes more,,7376224
100,172,TRUE,EN,I'm ready,panda,0,0,16.856,0,0,0,16.163,0,0,0,15.655,0,0,0,19.54,0,,,,,,,,,,,,,,,,,2.172,2.172,3.325,1,Off,On,1.481,1.481,2.432,1,Off,On,1.019,2.048,2.481,2,On,Off,1.453,1.453,2.639,1,On,Off,0.839,0.839,1.877,1,On,Off,0.77,0.77,1.829,1,Off,On,0.872,0.872,1.817,1,Off,On,0.931,1.398,2.565,2,Off,On,5,3,judgement,none,2859256
100,190,TRUE,EN,I'm ready,panda,0,0,17.294,0,0,0,16.301,0,0,0,17.347,0,10.994,10.994,16.079,1,,,,,,,,,,,,,,,,,3.988,3.988,5.028,1,Off,On,1.211,6.601,7.11,4,On,Off,1.483,1.483,3.561,1,On,Off,2.211,2.211,3.134,1,Off,On,2.695,2.695,3.546,1,Off,On,0.751,0.751,1.571,1,Off,On,0.944,0.944,1.866,1,On,Off,0.965,0.965,1.745,1,Off,On,5,5,To see how well we can predict preferences when variables are changed.,,2214001
100,291,TRUE,EN,I'm ready,panda,0,0,22.657,0,4.723,4.723,23.466,1,0,0,16.389,0,0,0,17.467,0,,,,,,,,,,,,,,,,,2.096,2.096,4.406,1,On,Off,1.534,1.534,3.155,1,On,Off,1.451,1.451,3.677,1,On,Off,1.58,1.58,4.667,1,On,Off,1.666,1.666,2.619,1,Off,On,5.562,5.562,7.787,1,On,Off,4.114,5.459,6.527,2,Off,On,1.252,1.252,3.034,1,On,Off,1,1,Decide what Elmo likes.,This game should be more exciting and pay more than .85 cents; more like $1.00,2339903
