Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WR_1,R2-WR_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-PW_1,G1-PW_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-BR_1,Cr-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-BY_1,R4-BY_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WY_1,G2-WY_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-BW_1,R3-BW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-RP_1,R1-RP_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-RB_1,Cr-RB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,213,TRUE,EN,I'm ready,panda,0,0,17.269,0,20.299,20.299,21.369,1,22.341,22.341,23.01,1,12.201,12.201,49.488,1,,,,,,,,,,,,,,,,,2.228,10.198,11.103,3,On,Off,1.084,1.084,2.058,1,Off,On,1.427,1.427,2.349,1,Off,On,0.537,0.537,1.283,1,Off,On,1.06,1.06,1.822,1,Off,On,4.209,4.917,5.23,2,Off,On,0.977,0.977,1.859,1,On,Off,1.384,1.384,2.186,1,On,Off,5,1,predict what Elmo would choose,,3885804
100,314,TRUE,EN,I'm ready,Held up,0,0,25.502,0,0,0,16.624,0,0,0,17.977,0,0,0,15.992,0,,,,,,,,,,,,,,,,,1.848,1.848,2.808,1,Off,On,7.046,7.046,8.461,1,On,Off,3.501,3.973,5.36,2,Off,On,1.605,2.988,3.484,2,Off,On,3.034,3.034,5.113,1,Off,On,2.19,2.19,5.127,1,On,Off,1.55,1.55,2.878,1,On,Off,1.614,1.614,2.878,1,Off,On,4,4,intresting,none,9003060
100,231,TRUE,EN,I'm ready,panda,0,0,18.565,0,0,0,17.867,0,0,0,17.789,0,0,0,18.94,0,,,,,,,,,,,,,,,,,2.449,6.953,8.279,3,On,Off,2.904,5.554,7.101,2,Off,On,1.399,2.438,4.324,2,On,Off,1.264,2.217,3.747,2,Off,On,1.188,2.328,3.677,2,Off,On,1.754,3.484,4.6,2,On,Off,1.634,3.262,4.431,2,On,Off,1.197,2.707,3.996,2,Off,On,5,5,see if people remeber,no,6954616
100,327,TRUE,EN,I'm ready,panda,0,0,27.975,0,0,0,27.952,0,0,0,24.9,0,0,0,23.325,0,,,,,,,,,,,,,,,,,3.562,3.562,6.291,1,On,Off,4.177,4.177,6.488,1,Off,On,4.181,4.181,5.471,1,On,Off,1.788,1.788,3.109,1,Off,On,2.799,2.799,3.715,1,Off,On,4.062,4.062,5.265,1,On,Off,2.349,2.349,3.568,1,On,Off,2.886,2.886,4.183,1,Off,On,5,3,To see if one can extrapolate the choices.,no,1172247
100,211,TRUE,EN,I'm ready,panda,0,0,21.859,0,19.195,19.195,19.553,1,0,0,23.952,0,0,0,17.657,0,,,,,,,,,,,,,,,,,3.48,3.48,4.468,1,Off,On,4.153,4.153,5.228,1,Off,On,1.996,1.996,4.024,1,Off,On,1.188,1.188,2.229,1,Off,On,0.8,0.8,1.665,1,Off,On,2.078,2.078,3.011,1,On,Off,2.817,3.142,4.031,2,On,Off,1.712,1.712,2.56,1,On,Off,5,4,see if people remember which ones Elmo picked,"no, thank you",4540443
100,315,TRUE,EN,,panda,4.793,20.322,22.896,2,4.455,4.455,19.811,1,4.95,4.95,18.826,1,2.776,2.776,17.679,1,,,,,,,,,,,,,,,,,1.068,3.645,4.402,3,On,Off,1.388,1.388,2.777,1,Off,On,10.61,17.505,19.687,3,Off,On,5.316,5.316,6.455,1,Off,On,1.862,1.862,3.067,1,Off,On,2.783,2.783,4.618,1,Off,On,1.551,1.551,2.498,1,Off,On,2.156,2.156,3.714,1,Off,On,4,5,the goal of this game was wanted for testing purposes,nothig,5457196
100,375,TRUE,EN,I'm ready,panda,0,0,39.286,0,0,0,17.004,0,0,0,29.707,0,19.777,19.777,21.518,1,,,,,,,,,,,,,,,,,0.731,2.739,5.68,3,On,Off,0.869,2.075,2.853,2,Off,On,1.646,3.61,4.264,3,Off,On,2.217,2.217,4.909,1,Off,On,10.994,12.02,25.583,2,Off,On,0.812,0.812,2.369,1,Off,On,1.633,1.633,3.647,1,On,Off,1.943,1.943,3.752,1,On,Off,5,5,guess correctly and interact with colors,Elmo needs a little more motion to him,4053177
