Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timer_First Click,mobile fam-IV timer_Last Click,mobile fam-IV timer_Page Submit,mobile fam-IV timer_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WB_1,R2-WB_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-YW_1,G1-YW_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-RB_1,Cr-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-RP_1,R4-RP_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WP_1,G2-WP_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-RW_1,R3-RW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-BY_1,R1-BY_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-BR_1,Cr-BR_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,125,TRUE,EN,I'm ready,panda,12.057,12.057,15.685,1,0,0,15.919,0,0,0,16.051,0,0,0,15.8,0,,,,,,,,,,,,,,,,,1.074,1.074,1.894,1,On,Off,0.989,0.989,1.641,1,Off,On,1.277,1.277,2.089,1,On,Off,1.575,1.575,2.362,1,Off,On,0.929,0.929,1.732,1,Off,On,0.777,0.777,1.344,1,Off,On,0.893,0.893,1.625,1,On,Off,0.889,0.889,1.691,1,Off,On,3,3,I really can't tell.,,5448361
100,217,TRUE,EN,I'm ready,panda,0,0,19.193,0,0,0,19.582,0,0,0,23.129,0,12.767,23.107,29.724,2,,,,,,,,,,,,,,,,,1.929,1.929,2.872,1,On,Off,2.189,2.189,3.227,1,Off,On,4.113,4.113,7.012,1,On,Off,2.998,2.998,4.646,1,Off,On,1.476,1.476,2.468,1,Off,On,2.223,2.223,3.242,1,On,Off,2.157,2.157,3.729,1,On,Off,1.969,1.969,3.032,1,Off,On,5,4,To see if people would determine preference relations in a linear fashion,no,1262633
100,139,TRUE,EN,I'm ready,panda,0,0,15.973,0,0,0,15.793,0,0,0,16.122,0,0,0,15.872,0,,,,,,,,,,,,,,,,,2.896,2.896,3.629,1,On,Off,0.385,0.385,1.037,1,Off,On,1.818,1.818,2.872,1,On,Off,0.612,0.612,1.264,1,Off,On,0.275,0.275,0.949,1,Off,On,0.317,0.317,0.878,1,Off,On,1.106,1.106,1.87,1,On,Off,1.179,1.179,1.893,1,Off,On,5,5,Find out which he likes best,none,4544117
100,145,TRUE,EN,I'm ready,panda,2.852,2.852,19.353,1,2.647,2.647,15.801,1,3.001,12.445,16.009,2,2.965,2.965,15.753,1,,,,,,,,,,,,,,,,,1.303,1.303,2.469,1,On,Off,1.318,2.1,2.894,2,Off,On,1.227,1.227,2.344,1,On,Off,0.823,0.823,1.836,1,Off,On,0.888,0.888,2.016,1,Off,On,0.795,1.676,2.594,3,Off,On,0.409,1.432,1.673,3,On,Off,0.456,1.948,2.539,4,Off,On,5,3,To understand if people make inferences as to what something is that they can't see?  i don't really know,,7214275
100,195,TRUE,EN,I'm ready,Panda,0,0,17.996,0,0,0,16.934,0,0,0,16.679,0,0,0,18.203,0,,,,,,,,,,,,,,,,,2.249,2.249,3.386,1,Off,On,3.357,3.357,5.459,1,Off,On,4.02,4.02,5.25,1,On,Off,1.604,1.604,2.981,1,Off,On,1.166,1.166,2.386,1,Off,On,1.893,1.893,3.005,1,On,Off,1.602,1.602,2.773,1,On,Off,1.496,1.496,2.378,1,Off,On,5,5,Memory and assumption of jars Elmos picks after watching a series of videos,,3227990
100,266,TRUE,EN,I'm ready,panda,0,0,15.803,0,0,0,18.289,0,0,0,22.69,0,0,0,15.695,0,,,,,,,,,,,,,,,,,2.861,2.861,3.797,1,On,Off,1.214,1.214,2.162,1,Off,On,4.094,4.094,5.547,1,On,Off,3.052,3.052,4.012,1,Off,On,0.705,0.705,1.449,1,Off,On,3.072,3.072,4.138,1,On,Off,1.162,1.581,2.485,2,On,Off,1.179,1.179,1.961,1,Off,On,5,5,memory based on previous conclusions,i think this is a good game for small children,5073380
100,169,TRUE,EN,I'm ready,panda,0,0,16.903,0,0,0,16.44,0,0,0,16.791,0,0,0,16.506,0,,,,,,,,,,,,,,,,,2.973,2.973,3.996,1,On,Off,1.144,1.144,1.943,1,Off,On,3.002,3.002,3.681,1,Off,On,2.29,2.29,3.402,1,Off,On,1.277,1.277,2.188,1,Off,On,0.986,0.986,1.97,1,Off,On,1.161,1.161,1.88,1,On,Off,0.952,1.471,2.302,2,On,Off,5,5,pick the right jars,none,8303776
100,161,TRUE,EN,I'm ready,panda,18.935,18.935,19.874,1,0,0,18.342,0,0,0,20.623,0,0,0,17.39,0,,,,,,,,,,,,,,,,,3.53,3.53,4.297,1,Off,On,3.611,3.611,4.539,1,Off,On,2.417,2.417,3.275,1,Off,On,1.597,1.597,2.617,1,Off,On,1.187,1.187,2.145,1,Off,On,1.57,1.57,2.387,1,Off,On,1.952,1.952,2.776,1,On,Off,1.743,1.743,2.591,1,On,Off,4,5,,,6041060
