Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-RW_1,R2-RW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WP_1,G1-WP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-YB_1,R4-YB_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-YW_1,G2-YW_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WB_1,R3-WB_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-PR_1,R1-PR_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,164,TRUE,EN,I'm ready,panda,0,0,18.319,0,0,0,17.483,0,16.758,16.758,17.812,1,0,0,25.747,0,,,,,,,,,,,,,,,,,1.267,4.147,5.117,4,Off,On,2.768,2.768,3.563,1,On,Off,0.894,0.894,1.799,1,On,Off,1.088,1.088,2.232,1,Off,On,1.26,1.26,2.113,1,Off,On,1.149,1.149,2.25,1,On,Off,0.951,0.951,2.201,1,Off,On,1.17,1.422,2.201,2,Off,On,5,5,guess the jar,no,9907661
100,204,TRUE,EN,I'm ready,panda,0,0,21.342,0,0,0,17.017,0,0,0,22.63,0,0,0,22.093,0,,,,,,,,,,,,,,,,,1.467,1.467,4.378,1,Off,On,1.547,1.547,3.852,1,On,Off,1.433,1.433,2.802,1,Off,On,1.45,1.45,2.883,1,On,Off,1.657,1.657,3.036,1,On,Off,2.632,2.632,3.947,1,Off,On,1.174,1.174,2.511,1,Off,On,3.423,3.423,5.06,1,On,Off,5,2,To determine which jars Elmo liked the best.,Nothing comes to mind.,2994952
100,266,TRUE,EN,I'm ready,panda,0,0,19.055,0,0,0,22.779,0,0,0,15.775,0,0,0,24.999,0,,,,,,,,,,,,,,,,,0.406,7.802,8.739,3,Off,On,1.888,1.888,2.705,1,On,Off,2.017,2.017,2.694,1,On,Off,1.147,1.147,1.792,1,On,Off,1.579,1.579,2.196,1,On,Off,3.787,3.787,4.551,1,On,Off,49.99,49.99,50.651,1,Off,On,1.729,1.729,2.476,1,On,Off,5,4,Remebering patterns?,none,2846123
100,253,TRUE,EN,I'm ready,panda,0,0,19.549,0,0,0,26.203,0,0,0,20.154,0,0,0,18.032,0,,,,,,,,,,,,,,,,,10.025,10.025,11.611,1,Off,On,3.12,3.12,4.521,1,On,Off,3.544,3.544,5.05,1,On,Off,2.06,2.06,3.322,1,On,Off,3.078,3.078,4.396,1,On,Off,2.6,2.6,3.712,1,On,Off,2.328,2.328,3.413,1,Off,On,2.363,2.363,4.159,1,Off,On,5,5,I'm not really sure.,Great experiment! Thank you.,1453618
100,282,TRUE,EN,I'm ready,panda,0,0,18.965,0,0,0,21.75,0,0,0,18.643,0,0,0,22.07,0,,,,,,,,,,,,,,,,,2.285,2.285,3.847,1,Off,On,2.093,2.093,4.237,1,On,Off,4.297,4.297,7.569,1,On,Off,6.049,6.049,8.132,1,Off,On,1.736,1.736,3.503,1,On,Off,1.333,1.333,3.324,1,Off,On,0.984,0.984,2.544,1,Off,On,3.641,3.641,5.201,1,On,Off,4,5,Observing and learning.,Thank you.,4529024
100,393,TRUE,EN,I'm ready,panda,35.096,35.096,37.693,1,40.164,40.164,41.238,1,48.559,48.559,50.084,1,28.465,28.465,30.026,1,,,,,,,,,,,,,,,,,3.242,4.192,5.52,2,Off,On,6.679,10.471,11.603,3,On,Off,3.058,10.542,11.738,3,On,Off,3.712,16.705,17.92,3,Off,On,3.402,6.612,7.407,3,Off,On,2.441,5.355,7.549,3,On,Off,3.612,7.517,8.783,3,Off,On,1.494,3.048,4.384,2,Off,On,5,4,To test how humans compare to algorithms in making predictions.,None. ,2857749
100,201,TRUE,EN,I'm ready,panda,25.439,25.439,25.819,1,0,0,16.526,0,0,0,15.901,0,0,0,15.727,0,,,,,,,,,,,,,,,,,1.622,1.622,3.751,1,Off,On,1.557,1.557,3.261,1,On,Off,3.782,3.782,5.281,1,On,Off,1.579,1.579,3.031,1,On,Off,1.385,1.385,2.785,1,On,Off,1.884,1.884,3.253,1,On,Off,1.216,1.216,2.393,1,Off,On,1.539,3.988,5.139,3,On,Off,5,5,Not sure trying to understand how we think he chooses jar,,1303549
100,189,TRUE,EN,I'm ready,Panda,0,0,45.218,0,0,0,16.419,0,0,0,17.876,0,0,0,16.588,0,,,,,,,,,,,,,,,,,1.071,1.903,2.934,2,Off,On,1.108,1.108,2.294,1,On,Off,0.954,1.362,2.624,2,On,Off,1.211,1.211,2.776,1,On,Off,0.776,0.776,1.481,1,Off,On,0.961,0.961,1.715,1,On,Off,0.784,1.37,2.029,2,Off,On,0.886,0.886,1.652,1,On,Off,5,5,,,1973624
