Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-RW_1,R2-RW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WP_1,G1-WP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-YB_1,R4-YB_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-YW_1,G2-YW_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WB_1,R3-WB_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-PR_1,R1-PR_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,177,TRUE,EN,I'm ready,Panda,0,0,18.666,0,0,0,18.126,0,0,0,15.623,0,15.668,15.668,16.068,1,,,,,,,,,,,,,,,,,2.127,6.065,7.383,2,On,Off,4.958,4.958,5.655,1,Off,On,2.702,3.774,4.074,2,On,Off,0.728,0.728,2.008,1,On,Off,0.85,0.85,2.167,1,On,Off,0.878,0.878,1.994,1,Off,On,1.148,1.148,2.46,1,Off,On,1.258,2.463,2.885,2,Off,On,5,5,To study memory,No,1260166
100,216,TRUE,EN,I'm ready,panda,0,0,17.935,0,0,0,16.052,0,0,0,17.062,0,0,0,16.821,0,,,,,,,,,,,,,,,,,4.93,4.93,6.175,1,Off,On,4.886,4.886,6.124,1,On,Off,3.204,3.204,4.426,1,Off,On,1.246,1.246,2.676,1,On,Off,0.527,0.527,1.452,1,On,Off,1.559,1.559,2.588,1,On,Off,1.114,4.097,4.831,3,On,Off,1.231,1.231,2.549,1,On,Off,5,5,testing hierarchical reasoning,,7563709
100,298,TRUE,EN,,panda,0,0,30.325,0,0,0,19.5,0,0,0,21.001,0,0,0,18.264,0,,,,,,,,,,,,,,,,,4.195,4.195,5.577,1,On,Off,1.589,1.589,2.879,1,On,Off,17.238,17.238,18.461,1,Off,On,2.278,2.278,3.756,1,On,Off,6.87,6.87,8.919,1,On,Off,2.747,2.747,4.879,1,Off,On,1.189,1.189,2.522,1,Off,On,2.407,2.407,4.313,1,On,Off,5,5,To see if people could remember the chain of which he chose over another color.,None,2288602
100,305,TRUE,EN,I'm ready,henda,0,0,16.188,0,0,0,18.027,0,0,0,16.655,0,0,0,19.783,0,,,,,,,,,,,,,,,,,7.436,7.436,8.208,1,Off,On,2.259,2.259,3.341,1,On,Off,2.238,2.238,3.049,1,Off,On,2.931,2.931,4.222,1,On,Off,1.108,1.108,1.978,1,On,Off,3.507,4.088,4.488,2,Off,On,1.298,1.547,2.45,2,Off,On,1.652,1.652,4.595,1,Off,On,5,5,The purpose is to study how people determine the factors that lead to a decision.,,2388662
100,294,TRUE,EN,I'm ready,panda,0,0,26.218,0,0,0,22.188,0,0,0,23.72,0,0,0,21.877,0,,,,,,,,,,,,,,,,,6.926,6.926,9.742,1,Off,On,4.318,4.318,6.083,1,On,Off,5.327,5.327,7.627,1,Off,On,2.925,2.925,4.722,1,On,Off,2.659,2.659,4.52,1,On,Off,7.488,7.488,9.969,1,Off,On,2.945,2.945,5.381,1,Off,On,5.862,5.862,7.866,1,On,Off,5,5,To see how people would interpret Elmo's preferences. ,,8332413
100,314,TRUE,EN,I'm ready,panda,0,0,20.014,0,0,0,18.714,0,0,0,20.484,0,0,0,64.06,0,,,,,,,,,,,,,,,,,2.018,2.018,4.501,1,On,Off,2.24,2.24,4.14,1,On,Off,1.897,1.897,3.621,1,Off,On,0.987,0.987,2.927,1,On,Off,1.045,1.045,2.58,1,On,Off,1.738,1.738,3.233,1,Off,On,1.221,1.221,2.964,1,Off,On,1.191,1.191,2.892,1,On,Off,4,3,Memory game,Its very simple though maybe it shoud start at 2 rounds first then go up.,3210110
100,174,TRUE,EN,I'm ready,panda,0,0,18.673,0,0,0,18.026,0,0,0,16.456,0,0,0,15.91,0,,,,,,,,,,,,,,,,,1.536,4.696,5.998,3,Off,On,3.04,3.04,5.2,1,On,Off,5.946,5.946,7.161,1,Off,On,1.493,1.493,3.164,1,On,Off,0.996,0.996,2.188,1,On,Off,1.54,1.54,2.745,1,Off,On,1.066,1.066,2.614,1,Off,On,3.146,3.146,4.392,1,Off,On,5,5,I am not sure?,No comments at the current time. ,9972989
100,200,TRUE,EN,I'm ready,panda,12.263,12.263,20.682,1,3.154,3.154,17.914,1,2.455,2.455,17.897,1,0,0,19.85,0,,,,,,,,,,,,,,,,,1.427,2.519,3.365,2,Off,On,1.529,3.61,4.91,3,On,Off,1.193,2.216,3.144,2,On,Off,0.424,3.699,4.056,4,On,Off,1.554,3.124,3.265,2,On,Off,1.196,2.438,3.585,2,On,Off,0.717,2.141,3.228,3,Off,On,1.042,2.213,3.193,2,Off,On,3,1,idk,im telling and whoever owns elmo will sue your asses off,2884913
