Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-YW_1,G2-YW_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WB_1,R3-WB_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-PR_1,R1-PR_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-RW_1,R2-RW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WP_1,G1-WP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-YB_1,R4-YB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,121,TRUE,EN,I'm ready,panda,16.268,16.268,16.534,1,0,0,16.692,0,0,0,16.371,0,16.105,16.105,16.471,1,,,,,,,,,,,,,,,,,0.904,1.538,1.856,2,On,Off,0.479,0.791,1.56,2,On,Off,1.405,1.405,2.172,1,Off,On,1.251,2.895,3.835,3,Off,On,1.113,1.113,1.889,1,Off,On,0.989,0.989,1.757,1,On,Off,0.88,0.88,2.57,1,On,Off,1.582,2.49,2.719,3,On,Off,5,1,I don't know.,,9010574
100,128,TRUE,EN,I'm ready,panda,0,0,16.36,0,0,0,15.948,0,16.202,16.202,17.053,1,15.862,15.862,16.456,1,,,,,,,,,,,,,,,,,1.228,1.228,2.742,1,On,Off,1.498,1.498,2.936,1,Off,On,1.23,1.23,2.673,1,Off,On,2.053,2.053,3.503,1,On,Off,0.759,0.759,2.118,1,Off,On,0.789,0.789,2.424,1,On,Off,0.496,0.496,1.59,1,Off,On,0.933,1.427,2.705,2,On,Off,5,5,no idea,nope,3663485
100,179,TRUE,EN,I'm ready,panda,0,0,16.379,0,0,0,16.662,0,0,0,16.305,0,0,0,16.93,0,,,,,,,,,,,,,,,,,1.084,1.084,1.971,1,On,Off,1.393,1.393,2.208,1,On,Off,3.332,3.332,4.236,1,Off,On,4.435,4.435,6.089,1,On,Off,1.019,1.019,1.843,1,Off,On,1.585,1.585,2.84,1,On,Off,1.893,1.893,2.861,1,Off,On,1.684,1.684,2.685,1,On,Off,5,5,Decide which is more popular choice,,2343426
100,255,TRUE,EN,I'm ready,panda,0,0,20.022,0,0,0,16.806,0,0,0,16.14,0,0,0,16.489,0,,,,,,,,,,,,,,,,,1.759,1.759,5.289,1,On,Off,3.026,3.026,4.115,1,Off,On,0.994,0.994,1.816,1,Off,On,1.048,1.048,11.497,1,Off,On,1.326,2.528,4.198,3,Off,On,1.112,1.112,4.326,1,On,Off,1.064,1.064,2.19,1,On,Off,1.346,1.346,2.494,1,On,Off,5,5,I think the goal of the game is to understand how rules for choices are perceived.,n/a,5163908
100,260,TRUE,EN,I'm ready,panda,0,0,16.049,0,0,0,16.368,0,0,0,16.328,0,0,0,16.195,0,,,,,,,,,,,,,,,,,2.421,2.421,3.377,1,On,Off,0.794,2.697,3.996,3,Off,On,0.777,0.777,1.453,1,Off,On,1.124,1.124,1.92,1,On,Off,0.549,0.549,1.27,1,Off,On,0.658,0.658,1.377,1,On,Off,0.773,1.245,2.016,2,Off,On,0.416,0.416,1.179,1,On,Off,5,5,To see which jar Elmo liked most.,,8823555
100,283,TRUE,EN,I'm ready,panda,0.986,18.91,21.277,2,20.248,20.248,22.005,1,2.657,15.756,18.297,2,3.155,3.155,16.853,1,,,,,,,,,,,,,,,,,0.584,10.137,11.933,4,Off,On,8.372,9.974,11.689,3,Off,On,2.716,3.832,7.027,2,Off,On,3.229,4.312,6.373,2,Off,On,1.064,7.008,9.366,3,Off,On,7.314,8.305,10.264,2,Off,On,1.215,6.937,11.082,3,On,Off,1.179,5.409,7.406,3,On,Off,5,5,memory and learning,none,8670747
100,324,TRUE,EN,I'm ready,panda,0,0,21.384,0,0,0,38.121,0,0,0,20.099,0,0,0,43.144,0,,,,,,,,,,,,,,,,,5.003,5.003,6.339,1,Off,On,34.913,34.913,37.233,1,Off,On,7.948,7.948,9.41,1,Off,On,3.106,3.106,4.474,1,On,Off,3.787,3.787,5.09,1,Off,On,2.686,2.686,4.093,1,On,Off,5.89,5.89,7.176,1,Off,On,3.882,3.882,5.103,1,On,Off,5,5,memory and observation,everything was clear,4930011
100,214,TRUE,EN,I'm ready,panda,4.977,4.977,18.188,1,20.026,20.026,21.221,1,0,0,17.333,0,0,0,19.948,0,,,,,,,,,,,,,,,,,3.59,7.154,7.914,3,On,Off,1.334,2.491,4.552,2,On,Off,1.616,2.72,4.054,2,Off,On,1.187,2.368,3.681,2,On,Off,1.417,2.443,4.64,2,Off,On,1.042,2.059,3.98,2,On,Off,1.145,2.18,3.988,2,On,Off,2.87,5.772,6.955,3,On,Off,5,5,To pick what Elmo liked,none,6857722
