Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam IV timer_First Click,fam IV timer_Last Click,fam IV timer_Page Submit,fam IV timer_Click Count,fam III timer_First Click,fam III timer_Last Click,fam III timer_Page Submit,fam III timer_Click Count,fam II timer_First Click,fam II timer_Last Click,fam II timer_Page Submit,fam II timer_Click Count,fam I timer_First Click,fam I timer_Last Click,fam I timer_Page Submit,fam I timer_Click Count,mobile fam IV timer_First Click,mobile fam IV timer_Last Click,mobile fam IV timer_Page Submit,mobile fam IV timer_Click Count,mobile fam III timer_First Click,mobile fam III timer_Last Click,mobile fam III timer_Page Submit,mobile fam III timer_Click Count,mobile fam II timer_First Click,mobile fam II timer_Last Click,mobile fam II timer_Page Submit,mobile fam II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WB_1,R2-WB_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-YW_1,G1-YW_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-RB_1,Cr-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-RP_1,R4-RP_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WP_1,G2-WP_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-RW_1,R3-RW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-BY_1,R1-BY_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-BR_1,Cr-BR_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,231,TRUE,EN,I'm ready,panda,0,0,16.612,0,0,0,17.506,0,0,0,15.784,0,0,0,15.816,0,,,,,,,,,,,,,,,,,2.067,2.067,2.973,1,On,Off,1.624,1.624,3.287,1,Off,On,3.506,3.506,4.395,1,On,Off,1.375,1.375,2.727,1,Off,On,1.208,1.208,2.155,1,Off,On,4.454,4.454,5.411,1,On,Off,1.356,1.356,2.4,1,On,Off,1.146,1.146,2.319,1,Off,On,5,5,I am not too sure. ,I did not have any issues with the study. ,8642711
100,216,TRUE,EN,I'm ready,Panda,0,0,16.026,0,0,0,15.801,0,0,0,15.816,0,15.545,15.545,16.644,1,,,,,,,,,,,,,,,,,2.98,2.98,4.694,1,Off,On,4.651,4.651,5.418,1,Off,On,10.627,17.579,20.165,3,On,Off,2.028,2.028,5.307,1,Off,On,2.026,2.026,3.456,1,Off,On,2.848,2.848,4.371,1,On,Off,1.914,1.914,3.371,1,On,Off,3.875,3.875,5.292,1,Off,On,5,5,Check my memory,,485839
100,211,TRUE,EN,,panda,0,0,16.164,0,0,0,16.409,0,0,0,18.358,0,16.31,16.31,17.161,1,,,,,,,,,,,,,,,,,2.003,2.003,3.179,1,On,Off,1.49,1.49,2.267,1,Off,On,2.163,2.163,3.746,1,On,Off,0.796,0.796,1.806,1,Off,On,0.935,0.935,1.742,1,Off,On,1.054,1.054,2.32,1,On,Off,1.857,1.857,2.795,1,On,Off,1.165,1.613,2.559,2,Off,On,5,3,memorization,That was the first survey I ever took and contemplated suicide at just how childish and obnoxious the sounds were. Congratulations. ,6702780
100,151,TRUE,EN,I'm ready,panda,0,0,16.052,0,0,0,17.624,0,0,0,17.249,0,0,0,15.681,0,,,,,,,,,,,,,,,,,0.781,0.781,1.714,1,On,Off,1.297,1.297,2.302,1,Off,On,1.971,1.971,2.985,1,On,Off,1.63,1.63,4.026,1,Off,On,0.585,0.585,1.566,1,Off,On,2.689,2.689,4.014,1,On,Off,2.431,2.431,3.292,1,Off,On,0.558,0.558,1.819,1,Off,On,5,3,memory,no,2345935
100,244,TRUE,EN,I'm ready,Panda,0,0,21.162,0,0,0,22.199,0,0,0,21.654,0,0,0,18.089,0,,,,,,,,,,,,,,,,,4.127,4.127,7.443,1,On,Off,3.749,3.749,6.632,1,Off,On,3.051,3.051,6.587,1,On,Off,1.922,1.922,3.685,1,Off,On,1.11,1.11,3.174,1,Off,On,2.449,2.449,4.385,1,On,Off,13.951,13.951,18.558,1,On,Off,3.193,3.193,7.424,1,Off,On,5,5,Don't know,,4477865
100,198,TRUE,EN,I'm ready,panda,0,0,16.138,0,0,0,16.278,0,0,0,26.512,0,0,0,16.059,0,,,,,,,,,,,,,,,,,0.807,0.807,1.842,1,On,Off,1.173,1.173,2.106,1,Off,On,2.2,2.2,3.247,1,On,Off,0.895,0.895,2.021,1,Off,On,0.94,4.468,5.443,3,Off,On,0.681,0.681,1.416,1,Off,On,1.124,1.124,2.061,1,On,Off,12.144,12.144,13.022,1,Off,On,5,5,to see what odds he would pick a certain color,none i could see,5697439
100,269,TRUE,EN,I'm ready,panda,1.879,1.879,16.333,1,2.372,2.372,18.318,1,10.27,10.27,18.005,1,2.621,2.621,18.894,1,,,,,,,,,,,,,,,,,2.008,2.382,5.723,2,On,Off,1.752,5.233,5.668,2,On,Off,2.67,5.179,6.48,4,Off,On,2.458,8.378,9.717,3,On,Off,0.809,0.809,2.771,1,Off,On,1.599,1.599,9.453,1,On,Off,1.82,22.875,25.445,4,On,Off,1.212,1.212,9.196,1,Off,On,5,4,what choices you would make ,,9315144
100,173,TRUE,EN,I'm ready,panda,0,0,15.628,0,0,0,15.395,0,1.149,1.962,15.728,2,0,0,15.666,0,,,,,,,,,,,,,,,,,0.069,0.069,1.041,1,On,Off,0.912,2.132,2.325,3,On,Off,0.496,0.935,1.196,2,Off,On,0.369,1.023,1.711,4,Off,On,0.516,0.516,0.676,2,Off,On,0.35,0.691,1.61,2,Off,On,0.218,0.647,0.928,2,Off,On,0.403,0.403,0.945,1,Off,On,3,3,To understand which criteria caused Elmo to pick up a jar and to understand how people make these determinations based on prior information.,,4162587
