Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam IV timer_First Click,fam IV timer_Last Click,fam IV timer_Page Submit,fam IV timer_Click Count,fam III timer_First Click,fam III timer_Last Click,fam III timer_Page Submit,fam III timer_Click Count,fam II timer_First Click,fam II timer_Last Click,fam II timer_Page Submit,fam II timer_Click Count,fam I timer_First Click,fam I timer_Last Click,fam I timer_Page Submit,fam I timer_Click Count,mobile fam IV timer_First Click,mobile fam IV timer_Last Click,mobile fam IV timer_Page Submit,mobile fam IV timer_Click Count,mobile fam III timer_First Click,mobile fam III timer_Last Click,mobile fam III timer_Page Submit,mobile fam III timer_Click Count,mobile fam II timer_First Click,mobile fam II timer_Last Click,mobile fam II timer_Page Submit,mobile fam II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WP_1,G2-WP_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-RW_1,R3-RW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-BY_1,R1-BY_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-BR_1,CrA-BR_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WB_1,R2-WB_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-YW_1,G1-YW_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-RB_1,CrB-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-RP_1,R4-RP_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,184,TRUE,EN,I'm ready,panda,0,0,16.22,0,0,0,16.506,0,0,0,20.588,0,0,0,16.613,0,,,,,,,,,,,,,,,,,2.88,2.88,3.782,1,Off,On,3.802,3.802,4.744,1,Off,On,1.256,1.256,2.615,1,On,Off,2.295,2.295,3.379,1,Off,On,3.662,3.662,4.747,1,Off,On,1.102,1.102,2.206,1,Off,On,1.206,1.206,2.568,1,On,Off,0.975,0.975,2.06,1,Off,On,4,5,Seeing which one Elmo would choose based on the videos.,No.,6809078
100,283,TRUE,EN,I'm ready,panda,0,0,16.731,0,0,0,61.829,0,0,0,21.428,0,4.049,4.049,16.247,1,,,,,,,,,,,,,,,,,3.875,3.875,5.323,1,Off,On,2.885,2.885,4.511,1,On,Off,4.988,4.988,6.8,1,On,Off,7.816,7.816,10.237,1,Off,On,4.209,4.209,5.686,1,On,Off,2.423,2.423,3.993,1,Off,On,4.376,4.376,5.719,1,On,Off,1.482,1.482,2.813,1,Off,On,5,5,"To remember which colors he chose in order. The first was the best, and so on.",no,7823529
100,265,TRUE,EN,I'm ready,nice,0,0,20.403,0,0,0,38.161,0,0,0,17.01,0,0,0,18.271,0,,,,,,,,,,,,,,,,,1.495,1.495,3.314,1,Off,On,3.147,3.147,6.262,1,Off,On,1.773,1.773,3.701,1,On,Off,5.84,11.101,12.606,4,Off,On,1.522,1.522,3.322,1,On,Off,1.412,1.412,2.768,1,Off,On,2.419,2.419,4.142,1,On,Off,1.456,1.456,2.982,1,Off,On,2,3,stanford,nice,2199755
100,132,TRUE,EN,I'm ready,Panda,0,0,15.533,0,2.705,2.705,15.72,1,0,0,19.094,0,3.486,19.997,20.797,3,,,,,,,,,,,,,,,,,0.396,0.396,0.922,1,Off,On,1.116,1.116,1.823,1,On,Off,1.652,1.652,2.49,1,On,Off,0.913,0.913,1.55,1,Off,On,0.956,2.731,3.335,3,On,Off,0.707,2.618,2.884,4,Off,On,0.839,0.839,1.429,1,On,Off,0.358,0.358,0.846,1,Off,On,5,2,I truly have no idea.,,6366074
100,248,TRUE,EN,I'm ready,panda,0,0,19.124,0,0,0,18.62,0,0,0,25.812,0,0,0,16.65,0,,,,,,,,,,,,,,,,,1.368,1.368,2.382,1,Off,On,1.28,22.078,24.084,8,On,Off,1.851,1.851,2.828,1,On,Off,2.783,2.783,4.836,1,Off,On,1.497,1.497,2.667,1,On,Off,1.311,1.311,2.44,1,Off,On,1.659,1.659,2.557,1,On,Off,1.562,1.562,2.592,1,Off,On,5,5,to pick the jar that elmo would pick,no thank you,3522442
100,141,TRUE,EN,I'm ready,panda,0,0,16.231,0,0,0,15.972,0,0,0,15.855,0,0,0,16.114,0,,,,,,,,,,,,,,,,,1.26,1.26,2.428,1,Off,On,1.695,1.695,2.854,1,Off,On,2.86,2.86,4.414,1,On,Off,3.894,3.894,5.537,1,Off,On,1.135,1.135,2.452,1,On,Off,2.018,2.018,3.171,1,Off,On,1.678,1.678,2.843,1,On,Off,1.158,1.158,2.275,1,Off,On,5,5,To see  how we make decisions,,2127860
100,206,TRUE,EN,I'm ready,panda,0,0,16.417,0,0,0,17.019,0,0,0,16.216,0,0,0,15.841,0,,,,,,,,,,,,,,,,,1.534,1.534,3.082,1,Off,On,1.285,1.285,4.048,1,Off,On,2.675,2.675,4.513,1,On,Off,2.797,2.797,4.232,1,Off,On,2.427,3.066,4.103,2,On,Off,1.442,2.586,4.295,2,Off,On,1.39,1.39,2.445,1,On,Off,1.008,1.008,2.17,1,Off,On,4,4,To look for patterns in the character and see what his preference was,I didn't think about the lid color being a factor. Thanks.,6301856
100,208,TRUE,EN,I'm ready,panda,21.256,21.256,22.63,1,0,0,16.491,0,0,0,15.785,0,17.453,17.453,18.417,1,,,,,,,,,,,,,,,,,2.382,2.382,3.493,1,Off,On,3.101,6.428,7.283,3,Off,On,1.785,1.785,2.773,1,On,Off,4.173,4.173,6.631,1,Off,On,1.652,1.652,2.76,1,On,Off,1.266,1.266,2.287,1,Off,On,0.783,2.111,2.652,2,On,Off,1.29,1.29,2.288,1,Off,On,5,5,To figure out which jar held the most gumballs,none,1712248
