Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-BW_1,R2-BW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WY_1,G1-WY_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-BR_1,CrA-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-PR_1,R4-PR_2,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2:purple-white_1,G2:purple-white_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WR_1,R3-WR_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-YB_1,R1-YB_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-RB_1,CrB-RB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,161,TRUE,EN,I'm ready,panda,0,0,16.03,0,0,0,15.729,0,0,0,15.881,0,0,0,15.935,0,,,,,,,,,,,,,,,,,0.743,0.743,1.633,1,Off,On,0.92,0.92,1.873,1,On,Off,5.043,5.043,5.957,1,Off,On,2.075,2.075,3.531,1,On,Off,1.002,1.002,2.043,1,On,Off,3.478,3.478,4.477,1,Off,On,0.887,0.887,1.949,1,Off,On,2.87,2.87,3.935,1,On,Off,5,4,Not sure.,None.,8897382
100,316,TRUE,EN,I'm ready,Panda,2.228,2.228,16.954,1,6.212,6.212,17.217,1,0.758,0.758,16.525,1,0.501,1.879,16.495,3,,,,,,,,,,,,,,,,,1.027,1.027,2.502,1,Off,On,22.221,22.221,23.164,1,On,Off,1.865,1.865,2.517,1,On,Off,0.602,0.602,2.502,1,On,Off,3.698,3.698,4.191,1,On,Off,0.699,0.699,1.728,1,On,Off,4.568,4.568,4.961,1,Off,On,19.168,19.168,19.72,1,On,Off,5,4,Find out Elmo's preferences,,3173736
100,288,TRUE,EN,I'm ready,hamdard,0,0,20.251,0,0,0,18.254,0,1.821,1.821,17.075,1,0,0,16.893,0,,,,,,,,,,,,,,,,,1.976,1.976,2.886,1,Off,On,1.345,1.345,2.229,1,On,Off,1.352,1.352,2.42,1,Off,On,1.047,1.047,2.25,1,On,Off,1.229,1.229,2.249,1,On,Off,1.915,1.915,2.803,1,Off,On,2.09,2.09,3.061,1,Off,On,2.036,2.036,3.129,1,On,Off,5,5,for childrens ,,1213504
100,642,TRUE,EN,I'm ready,honda,0,0,56.909,0,0,0,16.172,0,15.555,15.555,15.86,1,0,0,15.908,0,,,,,,,,,,,,,,,,,1.096,1.096,1.781,1,Off,On,1.065,1.065,1.699,1,On,Off,1.927,1.927,2.952,1,Off,On,1.361,1.361,2.13,1,On,Off,0.821,1.197,1.776,2,On,Off,1.946,1.946,2.832,1,Off,On,1.256,1.256,1.82,1,Off,On,0.956,1.679,1.927,2,On,Off,5,5,"not sure, but it was fun!",,1065897
100,389,TRUE,EN,I'm ready,panda,0,0,18.33,0,0,0,25.775,0,0,0,19.044,0,0,0,53.261,0,,,,,,,,,,,,,,,,,5.238,5.238,6.165,1,Off,On,11.737,11.737,13.012,1,On,Off,35.282,35.282,36.227,1,Off,On,4.288,4.288,6.496,1,On,Off,2.774,2.774,3.55,1,On,Off,35.214,35.214,36.431,1,Off,On,3.45,3.45,4.119,1,Off,On,17.735,17.735,18.992,1,On,Off,5,2,to figure out which jar elmo likes.,is this really a game? ...,8551810
100,505,TRUE,EN,I'm ready,panda,0.637,0.637,15.82,1,0.631,0.631,15.83,1,0.452,14.832,15.593,2,8.141,14.88,15.688,5,,,,,,,,,,,,,,,,,1.7,2.433,3.317,2,On,Off,1.203,2.335,2.752,3,On,Off,0.858,2.004,2.515,3,Off,On,0.567,3.516,3.915,4,On,Off,0.629,1.221,1.744,2,On,Off,0.678,3.602,4.329,4,On,Off,1.173,2.19,2.56,3,Off,On,0.494,0.995,1.542,2,Off,On,5,5,learning for children.,,6459596
100,150,TRUE,EN,I'm ready,panda,4.719,15.831,16.599,3,2.267,14.693,15.727,2,3.911,14.811,15.607,2,5.056,14.757,15.464,2,,,,,,,,,,,,,,,,,0.829,5.02,5.569,4,On,Off,0.789,2.256,2.628,3,On,Off,0.957,2.861,3.216,3,Off,On,0.381,1.517,1.86,3,On,Off,0.53,1.181,1.601,2,On,Off,0.618,2.763,3.083,3,Off,On,0.557,1.217,1.598,2,Off,On,0.793,1.41,2.017,2,On,Off,4,4,To find out which colors Elmo liked the best. ,,7509369
100,276,TRUE,EN,I'm ready,panda,0,0,17.275,0,0,0,20.193,0,0,0,16.54,0,0,0,17.967,0,,,,,,,,,,,,,,,,,2.577,2.577,5.579,1,Off,On,2.132,2.132,4.717,1,On,Off,4.312,4.312,9.132,1,Off,On,1.519,1.519,2.752,1,On,Off,3.613,3.613,4.696,1,On,Off,1.404,1.404,2.413,1,On,Off,2.203,2.203,4.134,1,Off,On,1.179,1.179,2.408,1,On,Off,3,5,To try and figure out the pattern for which jar Elmo will choose.,Not really. Just took it at face value. Good luck.,7874981
