Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WY_1,G2-WY_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-BW_1,R3-BW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-RP_1,R1-RP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WR_1,R2-WR_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-PW_1,G1-PW_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-BY_1,R4-BY_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,234,TRUE,EN,I'm ready,panda,0,0,20.747,0,0,0,36.082,0,0,0,21.623,0,0,0,68.805,0,,,,,,,,,,,,,,,,,5.95,6.235,7.556,2,Off,On,1.446,1.83,2.626,2,Off,On,0.736,0.736,2.052,1,Off,On,0.81,0.81,1.714,1,On,Off,0.708,0.708,1.683,1,On,Off,0.681,0.681,1.643,1,Off,On,0.802,0.802,1.54,1,Off,On,0.824,1.852,2.157,3,Off,On,4,3,???,NA,4292885
100,359,TRUE,EN,I'm ready,panda,0,0,19.022,0,0,0,20.111,0,0,0,17.834,0,0,0,17.019,0,,,,,,,,,,,,,,,,,2.458,2.458,3.731,1,Off,On,1.111,1.111,2.045,1,Off,On,2.035,2.035,3.089,1,Off,On,2.364,2.364,6.31,1,Off,On,1.781,1.781,2.957,1,On,Off,1.164,1.164,2.163,1,Off,On,1.596,1.596,2.58,1,Off,On,1.444,1.444,2.611,1,Off,On,5,5,not sure,Thank you,6027623
100,372,TRUE,EN,I'm ready,panda,0,0,16.099,0,0,0,24.77,0,0,0,17.743,0,0,0,29.101,0,,,,,,,,,,,,,,,,,12.94,13.639,14.037,2,On,Off,1.29,1.29,1.909,1,Off,On,1.389,1.389,2.055,1,On,Off,1.447,2.039,2.47,2,Off,On,2.232,2.94,3.106,2,On,Off,9.006,9.006,10,1,Off,On,1.086,1.367,1.963,2,Off,On,0.933,0.933,1.542,1,Off,On,5,5,no idea,,3232736
100,524,TRUE,EN,I'm ready,panda,22.385,22.385,23.556,1,0,0,35.259,0,2.89,39.457,41.039,2,8.051,28.84,29.997,2,,,,,,,,,,,,,,,,,1.522,1.522,1.858,1,On,Off,1.119,1.119,2.355,1,Off,On,40.686,42.416,43.258,2,On,Off,2.71,2.71,3.056,1,Off,On,1.094,1.094,1.337,1,Off,On,1.178,1.178,1.573,1,Off,On,0.94,0.94,1.317,1,On,Off,1.21,1.21,1.633,1,On,Off,5,0,remembering,none,9974932
100,146,TRUE,EN,I'm ready,panda,1.562,17.004,17.945,2,0.678,5.519,20.462,2,2.113,10.718,17.95,2,1.793,1.793,17.348,1,,,,,,,,,,,,,,,,,0.604,0.604,1.274,1,Off,On,1.19,1.19,1.889,1,Off,On,0.874,2.299,3.024,3,On,Off,1.072,1.072,1.884,1,On,Off,0.575,0.575,1.25,1,On,Off,0.759,0.759,1.302,1,Off,On,0.69,0.69,1.385,1,Off,On,0.747,0.747,1.57,1,Off,On,5,4,Guess what Elmo wanted,None,8022264
100,167,TRUE,EN,I'm ready,panda,0,0,18.61,0,0,0,16.983,0,0,0,16.376,0,0,0,15.781,0,,,,,,,,,,,,,,,,,0.947,0.947,2.131,1,Off,On,7.305,7.305,9.466,1,On,Off,2.272,2.272,3.936,1,On,Off,1.278,1.278,3.028,1,Off,On,1.616,1.616,2.83,1,On,Off,1.465,1.465,2.709,1,Off,On,0.829,0.829,1.937,1,On,Off,1.31,1.31,2.018,1,Off,On,5,5,logic test,,3447082
100,236,TRUE,EN,I'm ready,panda,0,0,25.358,0,0,0,21.25,0,0,0,22.283,0,0,0,22.751,0,,,,,,,,,,,,,,,,,8.111,8.111,9.947,1,Off,On,3.829,3.829,5.811,1,On,Off,2.734,2.734,4.305,1,On,Off,8.632,8.632,11.314,1,Off,On,4.592,4.592,6.001,1,On,Off,1.419,1.419,2.475,1,Off,On,3.449,3.449,4.643,1,On,Off,3.042,3.042,4.88,1,Off,On,5,4,I have no clue,None,1040553
