Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-WP_1,G2-WP_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-RW_1,R3-RW_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-BY_1,R1-BY_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-BR_1,Cr-BR_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-WB_1,R2-WB_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-YW_1,G1-YW_2,Cr-timing_First Click,Cr-timing_Last Click,Cr-timing_Page Submit,Cr-timing_Click Count,Cr-RB_1,Cr-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-RP_1,R4-RP_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,337,TRUE,EN,I'm ready,panda,0.396,20.452,22.752,2,0.652,20.937,23.521,2,2.424,2.424,23.637,1,1.215,19.693,21.78,2,,,,,,,,,,,,,,,,,0.58,4.22,8.571,3,Off,On,2.631,7.597,9.744,3,On,Off,0.454,5.216,7.687,3,On,Off,14.985,16.76,19.757,3,Off,On,0.509,5.031,6.777,3,On,Off,0.527,3.606,5.191,3,Off,On,0.462,4.362,7.318,3,On,Off,0.503,3.886,11.913,4,Off,On,5,5,To judge the memory of various people and see if they could remember Elmo's favorite jars from a number of trials. ,,6699333
100,220,TRUE,EN,I'm ready,panda,0,0,18.039,0,0,0,18.103,0,0,0,19.225,0,0,0,18.044,0,,,,,,,,,,,,,,,,,2.978,2.978,4.272,1,Off,On,8.376,8.376,9.904,1,On,Off,1.975,1.975,3.367,1,On,Off,3.937,3.937,5.344,1,Off,On,1.755,3.419,4.699,3,On,Off,2.503,2.503,3.703,1,Off,On,2.279,14.583,16.351,5,On,Off,4.422,4.422,5.566,1,Off,On,5,5,I think it was a memory test.,none,2840303
100,222,TRUE,EN,I'm ready,panda,0,0,15.968,0,0,0,15.941,0,0,0,16.165,0,0,0,17.617,0,,,,,,,,,,,,,,,,,0.89,0.89,2.222,1,Off,On,1.456,1.456,2.724,1,On,Off,3.089,3.089,4.2,1,On,Off,1.953,1.953,3.852,1,Off,On,2.424,2.424,3.782,1,On,Off,1.03,1.03,2.185,1,Off,On,1.336,1.336,2.36,1,On,Off,1.02,1.02,1.972,1,Off,On,,,To try to pick what Elmo likes correctly.,I think the page before this one was buggy.,6554328
100,427,TRUE,EN,I'm ready,panda,1.453,23.386,24.363,2,0.884,22.174,22.815,2,10.942,10.942,16.047,1,29.781,29.781,30.489,1,,,,,,,,,,,,,,,,,1.292,2.052,3.152,2,On,Off,0.604,2.638,3.162,4,Off,On,2.833,3.769,4.621,3,Off,On,1.564,2.041,3.187,2,Off,On,0.541,1.337,2.154,2,On,Off,0.546,1.836,2.728,2,Off,On,0.49,4.71,5.098,8,Off,On,6.402,254.171,254.787,4,Off,On,5,5,,,7007347
100,170,TRUE,EN,I'm ready,panda,0,0,15.839,0,0,0,16.023,0,0,0,15.875,0,0,0,19.98,0,,,,,,,,,,,,,,,,,1.671,1.671,3.253,1,Off,On,0.839,0.839,1.528,1,Off,On,1.912,1.912,2.822,1,On,Off,0.818,0.818,1.796,1,Off,On,0.642,0.642,1.444,1,On,Off,0.72,0.72,1.328,1,Off,On,0.855,0.855,1.536,1,On,Off,0.385,0.385,1.111,1,Off,On,5,4,choose what elmo prefers,thank you was fun and interesting,376693
100,169,TRUE,EN,I'm ready,panda,0,0,19.912,0,0,0,17.246,0,0,0,15.883,0,0,0,16.233,0,,,,,,,,,,,,,,,,,1.338,1.338,2.778,1,Off,On,4.406,4.406,7.625,1,Off,On,2.345,2.345,3.632,1,On,Off,3.143,3.143,4.85,1,On,Off,1.946,1.946,3.326,1,On,Off,3.179,3.179,4.122,1,Off,On,1.351,1.351,2.819,1,Off,On,1.228,1.228,2.253,1,Off,On,5,3,no idea,,5857934
100,174,TRUE,EN,I'm ready,Panda,0,0,18.142,0,0,0,16.543,0,0,0,16.261,0,0,0,18.045,0,,,,,,,,,,,,,,,,,0.944,0.944,1.823,1,Off,On,2.297,2.297,3.605,1,Off,On,1.307,1.307,2.409,1,On,Off,3.654,3.654,6.056,1,Off,On,1.142,1.142,2.008,1,On,Off,0.844,0.844,1.536,1,Off,On,2.455,2.455,3.354,1,Off,On,0.749,0.749,1.559,1,Off,On,5,5,to see if we can remember,no,9750503
100,208,TRUE,EN,I'm ready,panda,0,0,25.304,0,0,0,16.868,0,0,0,29.303,0,0,0,18.62,0,,,,,,,,,,,,,,,,,1.744,1.744,2.467,1,Off,On,5.67,5.67,6.5,1,On,Off,5.003,5.003,5.981,1,On,Off,12.171,12.171,13.953,1,Off,On,2.71,2.71,3.599,1,On,Off,1.696,1.696,2.358,1,Off,On,3.463,3.463,6.394,1,On,Off,2.049,2.049,3.264,1,Off,On,5,5,remembering prefereances for elmo,none,4572622
