Progress,Duration (in seconds),Finished,UserLanguage,speaker-ON?,Comp check,fam-IV timer_First Click,fam-IV timer_Last Click,fam-IV timer_Page Submit,fam-IV timer_Click Count,fam-III timer_First Click,fam-III timer_Last Click,fam-III timer_Page Submit,fam-III timer_Click Count,fam-II timer_First Click,fam-II timer_Last Click,fam-II timer_Page Submit,fam-II timer_Click Count,fam-I timer_First Click,fam-I timer_Last Click,fam-I timer_Page Submit,fam-I timer_Click Count,mobile fam-IV timing_First Click,mobile fam-IV timing_Last Click,mobile fam-IV timing_Page Submit,mobile fam-IV timing_Click Count,mobile fam-III timer_First Click,mobile fam-III timer_Last Click,mobile fam-III timer_Page Submit,mobile fam-III timer_Click Count,mobile fam-II timer_First Click,mobile fam-II timer_Last Click,mobile fam-II timer_Page Submit,mobile fam-II timer_Click Count,mobile fam-I timer_First Click,mobile fam-I timer_Last Click,mobile fam-I timer_Page Submit,mobile fam-I timer_Click Count,G2-timing_First Click,G2-timing_Last Click,G2-timing_Page Submit,G2-timing_Click Count,G2-YW_1,G2-YW_2,R3-timing_First Click,R3-timing_Last Click,R3-timing_Page Submit,R3-timing_Click Count,R3-WB_1,R3-WB_2,R1 timing_First Click,R1 timing_Last Click,R1 timing_Page Submit,R1 timing_Click Count,R1-PR_1,R1-PR_2,CrB-timing_First Click,CrB-timing_Last Click,CrB-timing_Page Submit,CrB-timing_Click Count,CrB-BR_1,CrB-BR_2,R2-timing_First Click,R2-timing_Last Click,R2-timing_Page Submit,R2-timing_Click Count,R2-RW_1,R2-RW_2,G1-timing_First Click,G1-timing_Last Click,G1-timing_Page Submit,G1-timing_Click Count,G1-WP_1,G1-WP_2,CrA-timing_First Click,CrA-timing_Last Click,CrA-timing_Page Submit,CrA-timing_Click Count,CrA-RB_1,CrA-RB_2,R4-timing_First Click,R4-timing_Last Click,R4-timing_Page Submit,R4-timing_Click Count,R4-YB_1,R4-YB_2,ptq2_4,ptq2_2,ptq3,ptq4,mTurkCode
100,157,TRUE,EN,I'm ready,Panda,0,0,16.685,0,0,0,16.276,0,0,0,17.772,0,0,0,16.31,0,,,,,,,,,,,,,,,,,0.821,0.821,1.597,1,On,Off,5.724,5.724,6.488,1,On,Off,1.174,1.174,1.789,1,Off,On,1.268,1.892,2.217,2,On,Off,1.064,2.416,3.191,3,Off,On,2.317,2.317,3.012,1,On,Off,1.112,4.504,5.166,6,On,Off,0.988,0.988,1.77,1,On,Off,5,5,How well people can remember the preference of Elmo,All good,895210
100,169,TRUE,EN,I'm ready,panda,0,0,16.315,0,0,0,16.624,0,0,0,16.212,0,0,0,16.228,0,,,,,,,,,,,,,,,,,0.914,0.914,1.5,1,On,Off,7.299,7.299,8.378,1,Off,On,1.473,1.473,2.297,1,Off,On,1.42,1.42,2.417,1,On,Off,2.421,2.421,3.706,1,Off,On,1.636,1.636,4.41,1,On,Off,0.925,0.925,1.579,1,Off,On,0.678,0.678,1.298,1,On,Off,4,5,To see how we form logical conclusions about preferences. ,n/a,992069
100,242,TRUE,EN,I'm ready,panda,0,0,19.952,0,0,0,21.494,0,0,0,22.37,0,0,0,20.477,0,,,,,,,,,,,,,,,,,1.579,1.579,3.377,1,On,Off,2.903,2.903,5.054,1,Off,On,2.118,2.118,3.735,1,Off,On,4.649,4.649,6.326,1,On,Off,2.971,2.971,4.262,1,Off,On,2.035,2.035,4.63,1,On,Off,2.179,2.179,4.112,1,Off,On,1.268,1.268,3.112,1,On,Off,5,4,To see if people can figure out an order from best to worst from the clips.,,6367548
100,138,TRUE,EN,I'm ready,panda,0,0,16.392,0,0,0,16.331,0,0,0,15.827,0,0,0,16.14,0,,,,,,,,,,,,,,,,,1.26,1.26,2.103,1,On,Off,1.245,1.245,2.404,1,On,Off,2.287,2.287,3.077,1,Off,On,2.02,2.02,2.819,1,Off,On,1.598,1.598,2.346,1,Off,On,0.71,0.71,1.894,1,On,Off,1.311,2.388,2.781,3,On,Off,0.647,0.647,1.344,1,On,Off,3,3,find the favorite gumballs,none,1776991
100,188,TRUE,EN,I'm ready,panda,0,0,23.306,0,0,0,18.856,0,0,0,19.002,0,0,0,17.44,0,,,,,,,,,,,,,,,,,2.326,2.326,3.736,1,On,Off,2.3,2.3,3.673,1,On,Off,2.973,2.973,4.871,1,On,Off,3.233,3.233,5.498,1,On,Off,1.844,1.844,3.354,1,Off,On,1.49,1.49,3.058,1,On,Off,2.375,2.375,3.701,1,Off,On,1.794,1.794,3.168,1,On,Off,5,5,checking my memory,no,1516565
100,260,TRUE,EN,I'm ready,panda,0,0,20.113,0,0,0,21.593,0,0,0,21.169,0,34.051,34.051,34.532,1,,,,,,,,,,,,,,,,,2.685,2.685,4.341,1,On,Off,5.459,5.459,6.96,1,Off,On,4.099,4.099,5.539,1,Off,On,12.949,12.949,15.997,1,On,Off,3.473,3.473,4.96,1,On,Off,1.739,1.739,3.356,1,On,Off,3.422,3.422,4.998,1,On,Off,1.667,1.667,3.643,1,On,Off,5,4,I don't know.  ,none,8163689
100,181,TRUE,EN,,panda,2.326,16.945,17.524,5,7.312,17.994,18.373,4,0.729,15.24,16.378,4,2.656,2.656,16.378,1,,,,,,,,,,,,,,,,,1.181,2.258,3.21,2,Off,On,0.695,4.493,5.29,5,On,Off,0.92,1.914,3.124,3,Off,On,0.802,2.548,3.229,4,On,Off,0.235,2.759,4.426,4,Off,On,0.431,1.251,2.4,2,Off,On,0.374,0.901,1.937,2,On,Off,0.784,1.484,2.367,3,Off,On,4,4,nothing,boring,3344428
100,213,TRUE,EN,I'm ready,panda,0,0,19.512,0,0,0,20.06,0,0,0,20.93,0,0,0,23.364,0,,,,,,,,,,,,,,,,,2.361,2.361,4.519,1,On,Off,2.385,2.385,3.944,1,Off,On,3.273,3.273,4.518,1,Off,On,3.056,3.056,4.687,1,On,Off,5.794,5.794,6.96,1,On,Off,2.006,2.006,3.408,1,On,Off,1.348,1.348,2.681,1,Off,On,1.25,2.96,3.349,2,On,Off,5,5,To help Elmo choose his favorite gumballs?,I can't think of anything.,3341119
